Image,Name,Description,Difficulty,Time
https://origami-database.com/wp-content/uploads/DSC03320-export-900x900.jpg,Fish,"Abstract fish model with open mouth and large, reverse-colored eye.",Intermediate,29 min.
https://origami-database.com/wp-content/uploads/DSC03312-export-900x900.jpg,Ammonite,Segmented shell with four reverse-colored tentacles.,Moderate,29 min.
https://origami-database.com/wp-content/uploads/DSC03309-export-900x900.jpg,Dandelion,Flower on stem with reverse-colored petals.,Moderate,25 min.
https://origami-database.com/wp-content/uploads/DSC03315-export-900x900.jpg,Raccoon,"Sitting racoon with distinctive reverse-colored snout, ears and bands on its tail.",Intermediate,41 min.
https://origami-database.com/wp-content/uploads/DSC03306-export-900x900.jpg,Velociraptor,Standing bipedal dinosaur with long tail and open mouth.,Moderate,27 min.
https://origami-database.com/wp-content/uploads/DSC03301-export-900x900.jpg,Hedgehog,"Standing hedgehog with reverse-colored head and feet, including a segmented back featuring quill-like motif.",Intermediate,50 min.
https://origami-database.com/wp-content/uploads/DSC03292-export-900x900.jpg,Crab,Eight-legged crab with two large claws.,Intermediate,35 min.
https://origami-database.com/wp-content/uploads/DSC03290-export-900x900.jpg,Zebra,"Standing zebra with reverse-colored nose, mane, tail and three stripes on its back.",Intermediate,40 min.
https://origami-database.com/wp-content/uploads/DSC03297-export-900x900.jpg,Clownfish,Fish with reverse-colored stripes.,Intermediate,38 min.
https://origami-database.com/wp-content/uploads/DSC03282-export-900x900.jpg,Toad/frog,"Sitting frog (or toad) model with reverse-colored eyes and jaw, featuring three digits on its front toes.",Intermediate,54 min.
https://origami-database.com/wp-content/uploads/DSC03287-export-900x900.jpg,Unicorn,Standing unicorn with large head and twisted horn.,Intermediate,57 min.
https://origami-database.com/wp-content/uploads/DSC03193-export-900x900.jpg,Satyr,Standing goat-like humanoid with reverse-colored horns.,Hard,1 hr. 18 min.
