Image,Name,Description,Difficulty,Time
https://origami-database.com/wp-content/uploads/DSC03551-export-900x900.jpg,Jumping frog,Abstract frog that jumps when tapped.,Easy,3 min.
https://origami-database.com/wp-content/uploads/DSC03538-export-900x900.jpg,Three-Headed Dragon,Bipedal three-headed creature with small wings and horned heads featuring open mouths.,Intermediate,2 hr. 22 min.
https://origami-database.com/wp-content/uploads/DSC03545-export-900x900.jpg,Charizard,Standing three-dimentional dragon from Pokémon with reverse-colored wings and flame on the tip of its tail.,Hard,2 hr. 55 min.
https://origami-database.com/wp-content/uploads/DSC03534-export-900x900.jpg,Lapras,Three-dimentional plesiosaur-like creature with reverse-colored shell on its back.,Intermediate,48 min.
https://origami-database.com/wp-content/uploads/DSC03531-export-900x900.jpg,Bulbasaur,Quadruped creature with large plant bulb on its back.,Intermediate,30 min.
https://origami-database.com/wp-content/uploads/DSC03508-export-900x900.jpg,Pegasus,Horse with medium-sized wings.,Hard,1 hr. 50 min.
https://origami-database.com/wp-content/uploads/DSC03570-export-900x900.jpg,Tulip and Stem,Red abstract flower with three petals on a stem with a single leaf.,Easy,4 min.
https://origami-database.com/wp-content/uploads/DSC03512-export-900x900.jpg,Atlantic Puffin,Standing bulky bird with reverse-colored elements.,Intermediate,52 min.
https://origami-database.com/wp-content/uploads/DSC03495-export-900x900.jpg,Rabbit,Simple abstract rabbit face.,Easy,2 min.
https://origami-database.com/wp-content/uploads/DSC03497-export-900x900.jpg,Horse,Simple abstract horse head.,Easy,3 min.
https://origami-database.com/wp-content/uploads/DSC03493-export-900x900.jpg,Cat,Simple abstract cat face.,Easy,2 min.
https://origami-database.com/wp-content/uploads/DSC03516-export-900x900.jpg,Tarrasque,"Quadruped armored beast with long tail, scales on its back and a horned head.",Complex,3 hr. 45 min.
https://origami-database.com/wp-content/uploads/DSC03491-export-900x900.jpg,Dog,Simple abstract dog face.,Easy,2 min.
https://origami-database.com/wp-content/uploads/DSC03506-export-900x900.jpg,Fish,"Simple generic fish with dorsal, pelvic and caudal fins.",Easy,6 min.
https://origami-database.com/wp-content/uploads/DSC03499-export-900x900.jpg,Fish,Simple abstract fish,Easy,2 min.
https://origami-database.com/wp-content/uploads/DSC03501-export-900x900.jpg,Penguin,Simple abstract penguin,Easy,2 min.
https://origami-database.com/wp-content/uploads/DSC03488-export-900x900.jpg,Lily Pad,Flat water lily leaf.,Moderate,8 min.
https://origami-database.com/wp-content/uploads/DSC03486-export-900x900.jpg,Lotus Flower,Water lily flower.,Moderate,20 min.
https://origami-database.com/wp-content/uploads/DSC03482-export-900x900.jpg,Greater Death’s Head Hawkmoth,"Flying insect with reverse-colored wings, striped abdomen and skull-like symbol on its back.",Complex,4 hr. 10 min.
https://origami-database.com/wp-content/uploads/DSC03475-export-900x900.jpg,Prehistoric Man,Male humanoid shape with visible genitals.,Moderate,14 min.
https://origami-database.com/wp-content/uploads/DSC03467-export-900x900.jpg,Otyugh,Three-legged monster with two large tentacles and an open mouth.,Intermediate,1 hr. 18 min.
https://origami-database.com/wp-content/uploads/DSC03469-export-scaled.jpg,Bulette,Armored quadruped creature with large maw.,Hard,1 hr. 58 min.
https://origami-database.com/wp-content/uploads/DSC03472-export-900x900.jpg,Fly,Abstract three-dimentional flying insect with reverse-colored wings.,Easy,6 min.
https://origami-database.com/wp-content/uploads/DSC03463-export-900x900.jpg,Question Mark,Question mark symbol on a reverse-colored background.,Intermediate,22 min.
https://origami-database.com/wp-content/uploads/DSC03459-export-900x900.jpg,Tulip,Flat duo-colored flower on reverse-colored background.,Intermediate,38 min.
https://origami-database.com/wp-content/uploads/DSC03456-export-900x900.jpg,Owlbear,Abstract bear-like creature with large beak and talons.,Moderate,37 min.
